,tmdb_id,genre1,genre2,genre3
169,286217.0,Drama,Adventure,Science Fiction
170,82992.0,Action,Thriller,Crime
171,284053.0,Action,Adventure,Fantasy
172,420817.0,Adventure,Fantasy,Romance
173,45243.0,Comedy,,
174,209112.0,Action,Adventure,Fantasy
175,77950.0,Animation,Family,
176,432613.0,Comedy,,
177,277368.0,Family,Comedy,
178,72190.0,Action,Drama,Horror
179,364689.0,Animation,Family,Adventure
180,384018.0,Action,Adventure,Comedy
181,384018.0,Action,Adventure,Comedy
182,384018.0,Action,Adventure,Comedy
183,384018.0,Action,Adventure,Comedy
184,157350.0,Action,Adventure,Science Fiction
185,458534.0,Comedy,Romance,
186,458534.0,Comedy,Romance,
187,353081.0,Action,Adventure,
188,71157.0,Drama,Thriller,
189,280391.0,Adventure,Comedy,Animation
190,167613.0,Not found,,
191,329996.0,Family,Fantasy,Adventure
192,118340.0,Action,Science Fiction,Adventure
193,20662.0,Adventure,Action,History
194,10528.0,Action,Adventure,Crime
195,46195.0,Animation,Adventure,Comedy
196,360920.0,Animation,Family,Comedy
197,76341.0,Action,Adventure,Science Fiction
198,262551.0,Comedy,,
199,76338.0,Action,Adventure,Fantasy
200,80015.0,Comedy,,
201,49519.0,Animation,Adventure,Family
202,335988.0,Action,Adventure,Science Fiction
203,459616.0,Comedy,,
204,404368.0,Family,Animation,Comedy
205,263115.0,Action,Drama,Science Fiction
206,270946.0,Family,Animation,Adventure
207,429617.0,Action,Adventure,Science Fiction
208,51447.0,Comedy,,
209,166428.0,Animation,Family,Adventure
210,429617.0,Action,Adventure,Science Fiction
211,49521.0,Action,Adventure,Fantasy
212,159824.0,Family,Animation,Comedy
213,89899.0,Comedy,,
214,246320.0,Comedy,,
215,335983.0,Science Fiction,Action,
216,436969.0,Action,Adventure,Fantasy
217,412117.0,Adventure,Animation,Comedy
218,333339.0,Science Fiction,Adventure,Action
219,41513.0,Animation,Family,Adventure
220,346364.0,Horror,Fantasy,
221,57243.0,Comedy,,
222,383869.0,Comedy,,
223,297762.0,Action,Adventure,Fantasy
224,127585.0,Action,Adventure,Fantasy
