,global_rank,title,id,release_date,day,month,year,max_theaters_used,first_day_sales,first_weekend_sales,first_week_sales,total_sales,viewers_by_theaters,Unnamed: 0,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
26,26,Supercondriaque,13769,2014-02-26,26,2,2014,836,367153.0,1705207.0,2151921,5269924,6303.0,2598.0,248507.0,0.0,tt3421514,fr,Supercondriaque,8.713,107.0,,938.0,5.5,Dany Boon,8.485,Kad Merad,3.8,Alice Pol,7.148
27,27,Jurassic World,13746,2015-06-10,10,6,2015,859,359010.0,1735467.0,2087959,5204879,6059.0,2568.0,135397.0,150000000.0,tt0369610,en,Jurassic World,166.469,125.0,Le parc est ouvert !,17862.0,6.7,Chris Pratt,31.211,Bryce Dallas Howard,25.216,Ty Simpkins,16.046
28,28,Lucy,14190,2014-08-06,6,8,2014,664,351054.0,1515449.0,1941424,5203226,7836.0,2597.0,240832.0,40000000.0,tt2872732,en,Lucy,80.896,89.0,On utilise en moyenne 10 % de nos capacités cérébrales. Elle est à 100 %.,13990.0,6.4,Scarlett Johansson,39.263,Morgan Freeman,25.481,Choi Min-sik,5.302
29,29,La Reine des neiges,13140,2013-12-04,4,12,2013,903,130365.0,776069.0,862291,5151855,5705.0,,,,,,,,,,,,,,,,,
30,30,Avengers: Infinity War,15188,2018-04-25,25,4,2018,843,405058.0,1841295.0,2565953,5141500,6099.0,,,,,,,,,,,,,,,,,
31,31,Rogue One: A Star Wars Story,15602,2016-12-14,14,12,2016,910,271502.0,1306857.0,1798117,5076199,5578.0,,,,,,,,,,,,,,,,,
32,32,Spectre,14888,2015-11-11,11,11,2015,902,850297.0,1977848.0,2203549,4982985,5524.0,2567.0,206647.0,245000000.0,tt2379713,en,Spectre,79.922,149.0,Cette fois c’est personnel !,9025.0,6.5,Daniel Craig,13.561,Christoph Waltz,10.77,Léa Seydoux,33.274
33,33,Inception,11001,2010-07-21,21,7,2010,628,208180.0,1016666.0,1305534,4915637,7827.0,2717.0,27205.0,160000000.0,tt1375666,en,Inception,155.284,148.0,Votre esprit abrite la scène du crime.,31371.0,8.4,Leonardo DiCaprio,24.194,Joseph Gordon-Levitt,16.948,Ken Watanabe,12.463
34,34,Le Hobbit : la Bataille des Cinq Armées,12218,2014-12-10,10,12,2014,914,281925.0,1553657.0,1789196,4848676,5304.0,,,,,,,,,,,,,,,,,
35,35,Zootopie,15556,2016-02-17,17,2,2016,743,224539.0,1251558.0,1556396,4845109,6521.0,2538.0,269149.0,150000000.0,tt2948356,en,Zootopia,100.068,109.0,Bienvenue dans la jungle urbaine,13848.0,7.7,Jason Bateman,17.22,Ginnifer Goodwin,9.186,Idris Elba,22.388
36,36,Pirates des Caraïbes : la Fontaine de Jouvence,10982,2011-05-18,18,5,2011,730,321178.0,1496113.0,1693713,4755981,6515.0,,,,,,,,,,,,,,,,,
37,37,Le Hobbit : la Désolation de Smaug,12995,2013-12-11,11,12,2013,917,262745.0,1391030.0,1619507,4701246,5126.0,,,,,,,,,,,,,,,,,
38,38,"Moi, moche et méchant 2",12705,2013-06-26,26,6,2013,831,189370.0,1011359.0,1418855,4655036,5601.0,,,,,,,,,,,,,,,,,
39,39,Fast & Furious 7,13552,2015-04-01,1,4,2015,710,357566.0,1707264.0,2158508,4637718,6531.0,,,,,,,,,,,,,,,,,
40,40,"Shrek 4, il était une fin",10368,2010-06-30,30,6,2010,842,503519.0,1408655.0,1722859,4626169,5494.0,2716.0,10192.0,165000000.0,tt0892791,en,Shrek Forever After,105.425,93.0,Ça va décoiffer !,5900.0,6.3,Mike Myers,11.157,Eddie Murphy,15.476,Cameron Diaz,18.462
41,41,Les Tuche 2 - Le rêve américain,15559,2016-02-03,3,2,2016,635,201264.0,1149615.0,1502557,4619897,7275.0,,,,,,,,,,,,,,,,,
42,42,La Vérité si je mens! 3,11793,2012-02-01,1,2,2012,1051,395283.0,1660445.0,1944022,4613791,4389.0,,,,,,,,,,,,,,,,,
43,43,Toy Story 4,15289,2019-06-26,26,6,2019,844,306462.0,1100058.0,1505679,4599884,5450.0,3507.0,301528.0,175000000.0,tt1979376,en,Toy Story 4,152.356,100.0,Que la fête commence !,7919.0,7.6,Tom Hanks,27.68,Tim Allen,9.82,Annie Potts,15.945
44,44,RAID Dingue,16495,2017-02-01,1,2,2017,770,181139.0,1189506.0,1468155,4571310,5936.0,2724.0,382597.0,32400000.0,tt5736696,fr,RAID Dingue,10.801,107.0,,790.0,5.8,Alice Pol,7.148,Dany Boon,8.485,Michel Blanc,7.453
45,45,Alice au Pays des Merveilles (2010),10107,2010-03-24,24,3,2010,744,251672.0,1417803.0,1599583,4536669,6097.0,,,,,,,,,,,,,,,,,
46,46,Twilight - Chapitre 5 : Révélation 2e partie,11485,2012-11-14,14,11,2012,823,552766.0,2126393.0,2409923,4525647,5498.0,,,,,,,,,,,,,,,,,
47,47,Vice Versa,14951,2015-06-17,17,6,2015,892,121556.0,669903.0,787437,4516453,5063.0,2565.0,26603.0,0.0,tt0096380,en,Vice Versa,9.019,98.0,Qauand la puberté arrive à la quarantaine !,152.0,5.9,Judge Reinhold,18.444,Fred Savage,8.006,Corinne Bohrer,6.133
48,48,Marvel's The Avengers,10739,2012-04-25,25,4,2012,675,302730.0,1441080.0,2041362,4505704,6675.0,,,,,,,,,,,,,,,,,
49,49,Le Hobbit : un voyage inattendu,12213,2012-12-12,12,12,2012,968,251817.0,1217193.0,1434119,4505525,4654.0,,,,,,,,,,,,,,,,,
50,50,Coco (2017),16415,2017-11-29,29,11,2017,918,289806.0,887188.0,948846,4505123,4907.0,,,,,,,,,,,,,,,,,
51,51,Les Nouvelles aventures d'Aladin,15400,2015-10-14,14,10,2015,714,231998.0,1005810.0,1452753,4439602,6217.0,,,,,,,,,,,,,,,,,
52,52,The Dark Knight Rises,11743,2012-07-25,25,7,2012,892,423970.0,1458710.0,1835547,4413773,4948.0,2653.0,49026.0,250000000.0,tt1345836,en,The Dark Knight Rises,160.567,164.0,La légende s'achève.,19352.0,7.8,Christian Bale,30.479,Michael Caine,16.713,Gary Oldman,25.969
53,53,Iron Man 3,11705,2013-04-24,24,4,2013,742,318216.0,1633980.0,2064740,4386939,5912.0,2627.0,68721.0,200000000.0,tt1300854,en,Iron Man 3,138.537,130.0,Libérez la puissance derrière l’armure.,19316.0,6.9,Robert Downey Jr.,47.113,Gwyneth Paltrow,17.655,Don Cheadle,13.809
54,54,Bohemian Rhapsody,17394,2018-10-31,31,10,2018,592,197249.0,937273.0,1077661,4372279,7385.0,3937.0,424694.0,52000000.0,tt1727824,en,Bohemian Rhapsody,77.222,134.0,"La seule chose plus extraordinaire que sa musique, c’est son histoire.",14543.0,8.0,Rami Malek,15.447,Gwilym Lee,5.071,Ben Hardy,9.546
55,55,Toy Story 3,10367,2010-07-14,14,7,2010,758,389918.0,1056764.0,1276905,4362701,5755.0,2714.0,10193.0,200000000.0,tt0435761,en,Toy Story 3,128.13,102.0,,12391.0,7.8,Tom Hanks,27.68,Tim Allen,9.82,Joan Cusack,15.647
56,56,Avengers : L'ère d'Ultron,13675,2015-04-22,22,4,2015,828,333303.0,1556508.0,1926049,4331356,5231.0,,,,,,,,,,,,,,,,,
57,57,Django Unchained,12529,2013-01-16,16,1,2013,774,139966.0,929096.0,1128810,4303569,5560.0,2626.0,68718.0,100000000.0,tt1853728,en,Django Unchained,97.606,165.0,Ils ont pris sa liberté. Il va tout leur prendre.,22370.0,8.1,Jamie Foxx,25.029,Christoph Waltz,10.77,Leonardo DiCaprio,24.194
58,57,Django Unchained,12529,2013-01-16,16,1,2013,774,139966.0,929096.0,1128810,4303569,5560.0,3058.0,68718.0,100000000.0,tt1853728,en,Django Unchained,97.606,165.0,Ils ont pris sa liberté. Il va tout leur prendre.,22370.0,8.1,Jamie Foxx,25.029,Christoph Waltz,10.77,Leonardo DiCaprio,24.194
59,58,Le Grand Bain,18032,2018-10-24,24,10,2018,690,255354.0,1177534.0,1527394,4269036,6187.0,3936.0,484482.0,0.0,tt7476116,fr,Le Grand Bain,13.329,122.0,"Parfois, on a juste besoin d'être synchro.",1267.0,6.9,Mathieu Amalric,7.848,Guillaume Canet,16.045,Benoît Poelvoorde,4.237
60,59,Gravity,13582,2013-10-23,23,10,2013,739,193659.0,1113882.0,1493000,4094466,5540.0,2625.0,49047.0,105000000.0,tt1454468,en,Gravity,26.119,91.0,Ne rien lâcher.,13259.0,7.2,Sandra Bullock,24.909,George Clooney,16.481,Ed Harris,18.304
61,60,Cinquante Nuances de Grey,13761,2015-02-11,11,2,2015,785,365221.0,1694083.0,2081638,4068085,5182.0,,,,,,,,,,,,,,,,,
62,61,Valérian et la Cité des Mille Planètes,15750,2017-07-26,26,7,2017,970,375400.0,1304245.0,1640681,4040253,4165.0,2722.0,339964.0,177200000.0,tt2239822,en,Valerian and the City of a Thousand Planets,62.642,137.0,Un univers sans frontières a besoin de héros sans limites.,6334.0,6.6,Dane DeHaan,13.86,Cara Delevingne,20.18,Clive Owen,9.461
63,62,Les Animaux fantastiques - Les crimes de Grindelwald,17550,2018-11-14,14,11,2018,903,321907.0,1485824.0,1649616,4036279,4469.0,,,,,,,,,,,,,,,,,
64,63,Les Animaux fantastiques,15601,2016-11-16,16,11,2016,805,209447.0,1267868.0,1420401,4000807,4969.0,,,,,,,,,,,,,,,,,
65,64,Raiponce,11266,2010-12-01,1,12,2010,729,112342.0,727910.0,734718,3986786,5468.0,,,,,,,,,,,,,,,,,
66,65,Camping 2,11114,2010-04-21,21,4,2010,781,292848.0,1186944.0,1357109,3978284,5093.0,2712.0,38277.0,28612179.0,tt1503096,fr,Camping 2,8.965,99.0,,556.0,4.8,Franck Dubosc,5.083,Richard Anconina,1.367,Mathilde Seigner,4.147
67,66,Les Profs,13176,2013-04-17,17,4,2013,633,140347.0,766127.0,1037269,3957176,6251.0,,,,,,,,,,,,,,,,,
68,67,Baby Boss,16910,2017-03-29,29,3,2017,646,229773.0,891478.0,1059393,3956359,6124.0,,,,,,,,,,,,,,,,,
69,68,Twilight - Chapitre 3 : Hésitation,10696,2010-07-07,7,7,2010,765,590855.0,1633624.0,2001000,3930577,5138.0,,,,,,,,,,,,,,,,,
