,tmdb_id,budget,imdb_id,original_language,original_title,tmdb_popularity,runtime,tagline,title,tmdb_vote_count,tmdb_vote_average,cast1,cast1_popularity,cast2,cast2_popularity,cast3,cast3_popularity
31,80801.0,0.0,tt1748278,ja,さや侍,1.984,103.0,,Saya Zamuraï,28.0,7.1,Pistol Takehara,2.419,Itsuji Itao,4.264,Jun Kunimura,9.29
32,50647.0,35000000.0,tt1655460,en,Wanderlust,28.94,99.0,Couple(s) au bord de l'extase,"Peace, love et plus si affinités",1025.0,5.5,Paul Rudd,24.963,Jennifer Aniston,15.682,Justin Theroux,13.445
33,50318.0,4000000.0,tt0393329,en,Go Go Tales,7.182,105.0,,Go Go Tales,35.0,5.6,Willem Dafoe,33.036,Bob Hoskins,5.187,Matthew Modine,10.012
34,147012.0,0.0,tt2411114,fr,Tous cobayes ?,1.18,0.0,,Tous cobayes ?,0.0,0.0,Philippe Torreton,2.241,,,,
35,132316.0,0.0,tt2176013,hi,जब तक है जान,8.94,170.0,Jusqu'à mon dernier Souffle je t'aimerai,Jusqu'à mon dernier Souffle,190.0,7.1,Shah Rukh Khan,11.831,Katrina Kaif,8.699,Anushka Sharma,5.818
36,89623.0,0.0,tt1971466,ko,마당을 나온 암탉,7.009,93.0,La découverte du monde sauvage,Lili à la découverte du monde sauvage,84.0,7.7,Moon So-ri,8.424,Yoo Seung-ho,9.706,Choi Min-sik,5.302
37,85525.0,0.0,tt1922561,ko,북촌방향,5.319,79.0,,Matins calmes à Séoul,55.0,7.0,Yu Jun-sang,4.326,Kim Sang-joong,2.055,Song Seon-mi,6.879
38,39135.0,0.0,tt0954544,en,The Vintner's Luck,4.985,121.0,,The Vintner's Luck,22.0,4.6,Jérémie Renier,5.876,Gaspard Ulliel,31.48,Vera Farmiga,27.019
39,82650.0,22000000.0,tt2023453,en,Diary of a Wimpy Kid: Dog Days,28.948,94.0,,Journal d'un dégonflé 3 : Ça fait suer !,740.0,6.3,Zachary Gordon,12.372,Steve Zahn,27.926,Devon Bostick,18.146
40,64678.0,0.0,tt1645080,en,The Art of Getting By,19.125,90.0,,Le Jour où je l'ai rencontrée,1136.0,6.6,Freddie Highmore,34.502,Emma Roberts,18.026,Michael Angarano,7.288
41,76489.0,30000000.0,tt0383010,en,The Three Stooges,62.408,92.0,,Les Trois Corniauds,438.0,5.7,Sean Hayes,8.682,Will Sasso,10.269,Chris Diamantopoulos,21.926
42,73937.0,41000000.0,tt1053810,en,The Big Year,9.835,100.0,Tout le monde cherche quelque chose.,Drôles d'Oiseaux,622.0,6.0,Jack Black,26.158,Steve Martin,8.388,Owen Wilson,34.946
43,36419.0,4500000.0,tt0838247,en,After.Life,22.831,102.0,La vie est le symptôme. La mort est le remède.,After.Life,861.0,6.2,Christina Ricci,17.663,Liam Neeson,34.171,Justin Long,12.42
44,82505.0,6900000.0,tt1582507,en,House at the End of the Street,19.524,101.0,La maison n'a pas dit son dernier mot.,La Maison au bout de la rue,1529.0,5.8,Max Thieriot,7.462,Allie MacDonald,10.177,Jennifer Lawrence,22.663
45,57431.0,25000000.0,tt1366344,en,The Sitter,19.078,81.0,,Baby-Sitter Malgré Lui,744.0,5.6,Jonah Hill,11.038,Landry Bender,9.35,Max Records,7.925
46,44754.0,14000000.0,tt0466893,en,Margaret,9.088,150.0,,Margaret,225.0,6.3,Anna Paquin,14.011,J. Smith-Cameron,4.916,Mark Ruffalo,10.768
47,111943.0,0.0,tt1669794,fr,Au cul du loup,0.723,90.0,,Au cul du loup,8.0,6.0,Christelle Cornil,1.091,François Vincentelli,3.025,Pierre Nisse,1.159
48,,,,,,,,,,,,,,,,,
49,43931.0,25000000.0,tt0872230,en,My Soul to Take,10.739,102.0,,My Soul to Take,408.0,5.5,Max Thieriot,7.462,John Magaro,6.004,Denzel Whitaker,7.699
50,84797.0,0.0,tt1808240,es,La chispa de la vida,7.706,95.0,,Un Jour de chance,58.0,5.9,Salma Hayek,21.13,Santiago Segura,3.836,Carolina Bang,3.647
51,72358.0,40000000.0,tt0763831,en,A Thousand Words,41.438,91.0,Il a seulement 1000 mots pour découvrir ce qui compte vraiment.,Mille mots,1104.0,6.1,Eddie Murphy,15.476,Kerry Washington,13.386,Cliff Curtis,15.756
52,116953.0,994640.0,tt1974287,fr,JC Comme Jésus Christ,2.587,75.0,JC Comme Jésus Christ,JC Comme Jésus Christ,16.0,4.3,Vincent Lacoste,4.993,Elsa Zylberstein,6.314,Aure Atika,10.012
53,70436.0,26000000.0,tt1486192,en,The Raven,54.477,111.0,Ce qu'il va commettre est déjà écrit.,L'Ombre du Mal,1068.0,6.3,John Cusack,15.804,Luke Evans,26.178,Alice Eve,21.137
54,86820.0,0.0,tt1707391,en,4:44 Last Day on Earth,9.284,82.0,,4h44 Dernier jour sur Terre,114.0,4.7,Willem Dafoe,33.036,Shanyn Leigh,2.827,Natasha Lyonne,13.51
55,22504.0,0.0,tt0079820,fr,Le Roi et l’oiseau,7.465,82.0,,Le Roi et l’oiseau,293.0,7.8,Jean Martin,3.747,Renaud Marx,1.185,Agnès Viala,0.6
56,429471.0,25000000.0,tt5968394,en,Captive State,24.525,109.0,"Depuis 10 ans, ils occupent notre planète. Aujourd'hui nous la libérons.",Captive State,914.0,5.6,John Goodman,21.865,Ashton Sanders,9.08,Jonathan Majors,10.047
